bid,ask,spread,time
26.8239,2.0603,24.763599999999997,1659983970.0184538
25.4512,5.7746,19.6766,1659983972.3654647
19.1272,10.2495,8.877699999999999,1659983973.920184
28.09,0.2819,27.8081,1659983975.4844396
9.5443,14.4431,-4.8988,1659983977.0554035
0.0847,43.9512,-43.8665,1659983978.8401039
0.606,15.7384,-15.1324,1659983980.9225743
0.2289,1.785,-1.5560999999999998,1659983982.5187917
0.602,21.9673,-21.3653,1659983984.1170065
7.4573,7.4696,-0.012299999999999756,1659983985.7502167
11.3077,2.2616,9.046100000000001,1659983987.3246768
6.409,0.7177,5.6913,1659983988.8757746
3.5895,19.2976,-15.708099999999998,1659983990.4300404
1.7573,19.1908,-17.4335,1659983992.084607
16.0889,3.6112,12.477699999999999,1659983993.6577094
4.4469,19.104,-14.6571,1659983995.221213
1.2436,15.4211,-14.177499999999998,1659983996.8057926
2.9942,9.0653,-6.0711,1659983998.3947434
10.2639,3.3438,6.9201,1659983999.9854925
13.2153,0.0216,13.1937,1659984001.5890374
24.8324,1.3433,23.4891,1659984003.181496
24.2298,2.2665,21.9633,1659984004.754263
35.3625,0.7128,34.649699999999996,1659984006.331955
28.7599,0.4196,28.3403,1659984008.115857
11.0141,3.262,7.752099999999999,1659984009.6841156
0.3616,21.6704,-21.3088,1659984011.2632735
0.2987,17.842,-17.5433,1659984012.8572154
0.6618,22.25,-21.5882,1659984014.436041
1.5502,21.9665,-20.4163,1659984016.193166
1.7769,23.0555,-21.278599999999997,1659984017.8187308
0.1377,26.6227,-26.485,1659984019.5169733
12.5616,3.194,9.3676,1659984021.1929145
1.28,22.1651,-20.885099999999998,1659984022.8479528
2.0261,15.7849,-13.7588,1659984024.5019364
6.7888,9.9154,-3.1266,1659984026.0486665
0.8868,7.9243,-7.0375,1659984027.6385767
1.3682,24.2516,-22.883399999999998,1659984029.2017808
3.8855,23.2389,-19.3534,1659984030.7492247
2.5914,19.5673,-16.9759,1659984032.3652432
9.5476,13.4664,-3.918800000000001,1659984033.9054742
28.4043,0.3208,28.0835,1659984035.4621935
26.998,0.1473,26.8507,1659984037.0252397
16.4869,2.3763,14.110599999999998,1659984038.6258214
20.0642,0.9621,19.1021,1659984040.2322614
4.6694,5.5431,-0.8736999999999995,1659984041.7865276
2.6509,7.2813,-4.6304,1659984043.3288887
4.9019,1.5289,3.373,1659984045.101616
23.2044,1.8644,21.34,1659984046.66214
0.5794,31.5479,-30.9685,1659984048.3106942
1.2326,24.8675,-23.6349,1659984049.857278
0.2113,33.1339,-32.922599999999996,1659984051.6504421
9.4651,22.4533,-12.988199999999999,1659984053.2109485
7.2079,11.4104,-4.202499999999999,1659984054.7727861
9.8308,0.2557,9.5751,1659984056.5156243
17.48,2.308,15.172,1659984058.0854335
7.5282,15.7586,-8.2304,1659984059.7415912
7.2908,15.2287,-7.9379,1659984061.3107457
2.7376,16.7911,-14.0535,1659984062.9320774
0.5884,20.0224,-19.434,1659984064.50921
8.2888,7.5003,0.7885,1659984066.203892
0.4899,9.2295,-8.7396,1659984067.860821
0.2859,23.3977,-23.1118,1659984069.5260537
13.5957,8.3766,5.219100000000001,1659984071.3711936
23.0499,2.7425,20.3074,1659984072.9371688
1.8959,7.688,-5.7921,1659984074.4998007
0.1831,19.5637,-19.3806,1659984076.0784416
13.7587,1.9219,11.8368,1659984077.6876514
7.6793,7.5496,0.1296999999999997,1659984079.620135
0.8144,11.1852,-10.3708,1659984081.192344
1.4366,32.7772,-31.340600000000002,1659984082.8154883
32.9909,1.8713,31.119600000000002,1659984084.3745239
12.8001,7.0039,5.796200000000001,1659984085.958001
